timestamp,symbol,final_score,signal,sentiment_view,confidence,article_count,bullish_ratio,bearish_ratio
2025-12-06T13:12:09.700956,AAPL,-0.0953750197802492,HOLD,mixed/neutral,medium,4,0.25,0.25
2025-12-06T13:12:09.700956,HDFCBANK,-0.19602445831354273,HOLD,mixed/neutral,medium,5,0.2,0.4
2025-12-06T13:12:09.700956,MSFT,0.19960206639334502,HOLD,mixed/neutral,medium,5,0.4,0.2
2025-12-06T13:12:09.700956,GOLD,0.2004650768016134,HOLD,mixed/neutral,medium,5,0.2,0.0
2025-12-06T13:13:40.729724,TSLA,0.19848677091758873,HOLD,mixed/neutral,medium,5,0.2,0.0
2025-12-06T13:13:40.729724,INFY,0.08782481161329922,HOLD,mixed/neutral,medium,5,0.4,0.4
2025-12-06T13:13:40.729724,AAPL,-0.0953750197802492,HOLD,mixed/neutral,medium,4,0.25,0.25
2025-12-06T13:13:40.729724,HDFCBANK,-0.19602445831354273,HOLD,mixed/neutral,medium,5,0.2,0.4
2025-12-06T13:13:40.729724,MSFT,0.19960206639334502,HOLD,mixed/neutral,medium,5,0.4,0.2
2025-12-06T13:13:40.729724,GOLD,0.2004650768016134,HOLD,mixed/neutral,medium,5,0.2,0.0
2025-12-06T13:13:40.729724,SAMSUNG,-0.2564839808483953,HOLD,bearish,medium,5,0.0,0.4
2025-12-06T13:14:24.883457,NVIDIA,0.5424841736230235,HOLD,bullish,medium,4,0.5,0.0
2025-12-06T13:15:29.184236,CRUCIAL,-0.13667648635121737,HOLD,mixed/neutral,medium,5,0.2,0.4
2025-12-06T13:16:01.777776,MICRON CRUCIAL RAM,-0.35902776568236733,HOLD,bearish,medium,5,0.0,0.4
2025-12-06T13:19:27.452397,META,0.14392668656300947,HOLD,mixed/neutral,medium,5,0.2,0.0
2025-12-06T13:20:17.294828,TCS.NS,0.0,HOLD,mixed/neutral,low,0,0.0,0.0
2025-12-06T13:20:42.903363,TATA,-0.026330110670016893,HOLD,mixed/neutral,medium,5,0.2,0.4
2025-12-06T13:22:21.403643,TATA,-0.026330110670016893,HOLD,mixed/neutral,medium,5,0.2,0.4
2025-12-06T13:22:21.403643,NVDA,0.04879622012956588,HOLD,mixed/neutral,medium,5,0.2,0.0
2025-12-06T13:22:21.403643,AAPL,-0.0953750197802492,HOLD,mixed/neutral,medium,4,0.25,0.25
2025-12-06T13:22:21.403643,SAMSUNG,-0.2971765853261331,HOLD,bearish,medium,5,0.0,0.4
2025-12-06T13:25:57.521284,TSLA,0.028591662854887546,BUY,bullish,medium,5,0.0,0.0
2025-12-06T13:25:57.521284,INFY,0.08782481161329922,BUY,bullish,medium,5,0.4,0.4
2025-12-06T13:25:57.521284,AAPL,-0.0953750197802492,SELL,bearish,medium,4,0.25,0.25
2025-12-06T13:25:57.521284,HDFCBANK,-0.19602445831354273,SELL,bearish,high,5,0.2,0.4
2025-12-06T13:26:26.931860,TSLA,0.028591662854887546,BUY,bullish,medium,5,0.0,0.0
2025-12-06T13:26:26.931860,INFY,0.08782481161329922,BUY,bullish,medium,5,0.4,0.4
2025-12-06T13:26:26.931860,AAPL,-0.0953750197802492,SELL,bearish,medium,4,0.25,0.25
2025-12-06T13:26:26.931860,HDFCBANK,-0.19602445831354273,SELL,bearish,high,5,0.2,0.4
2025-12-06T13:26:26.931860,NVDA,0.04879622012956588,BUY,bullish,medium,5,0.2,0.0
2025-12-06T13:26:53.277095,MICRON CRUCIAL,-0.1533794914443206,SELL,bearish,medium,5,0.0,0.2
2025-12-06T13:33:05.129465,DOLLAR,0.4331984177629792,BUY,bullish,high,5,0.4,0.0
2025-12-06T13:33:57.426083,BIT COIN,0.0805127273739572,BUY,bullish,medium,4,0.0,0.0
2025-12-06T13:35:14.523434,INDIAN GOLD PRICE,0.026830014247541813,BUY,bullish,medium,5,0.6,0.4
2025-12-06T13:36:07.586107,INDIAN GOLD PRICE,0.026830014247541813,BUY,bullish,medium,5,0.6,0.4
2025-12-06T13:36:07.586107,INDIAN SILVER PRICE,-0.37232645920103097,SELL,bearish,high,5,0.2,0.4
2025-12-06T13:37:06.862847,INDIAN GOLD PRICE,0.026830014247541813,BUY,bullish,medium,5,0.6,0.4
2025-12-06T13:37:06.862847,INDIAN SILVER PRICE,-0.37232645920103097,SELL,bearish,high,5,0.2,0.4
2025-12-06T13:37:26.627937,INDIAN GOLD PRICE,0.026830014247541813,BUY,bullish,medium,5,0.6,0.4
2025-12-06T13:37:26.627937,INDIAN SILVER PRICE,-0.37232645920103097,SELL,bearish,high,5,0.2,0.4
2025-12-06T13:41:22.192411,TSLA,0.03025018787011504,BUY,bullish,medium,5,0.0,0.2
2025-12-06T13:41:22.192411,INFY,0.08782481161329922,BUY,bullish,medium,5,0.4,0.4
2025-12-06T13:41:22.192411,AAPL,0.03254721757025436,BUY,bullish,medium,4,0.25,0.0
2025-12-06T13:41:22.192411,HDFCBANK,-0.19602445831354273,SELL,bearish,high,5,0.2,0.4
2025-12-06T13:42:01.942351,CANARA BANK,0.00024703594461144006,HOLD,mixed/neutral,medium,5,0.4,0.4
2025-12-06T13:42:35.589187,TATA STEEL,0.17661706945818878,BUY,bullish,high,5,0.4,0.2
2025-12-06T14:18:03.506607,TSLA,-0.23128050088016608,SELL,bearish,high,5,0.0,0.2
2025-12-06T14:18:03.506607,INFY,-0.1136720476632945,SELL,bearish,medium,5,0.2,0.4
2025-12-06T14:18:03.506607,AAPL,-0.21745662442640423,SELL,bearish,high,4,0.25,0.25
2025-12-06T14:18:03.506607,HDFCBANK,-0.19602445831354273,SELL,bearish,high,5,0.2,0.4
2025-12-06T14:18:29.288641,TSLA,-0.23128050088016608,HOLD,bearish,medium,5,0.0,0.2
2025-12-06T14:18:29.288641,INFY,-0.1136720476632945,HOLD,bearish,medium,5,0.2,0.4
2025-12-06T14:18:29.288641,AAPL,-0.21745662442640423,HOLD,bearish,medium,4,0.25,0.25
2025-12-06T14:18:29.288641,HDFCBANK,-0.19602445831354273,HOLD,bearish,medium,5,0.2,0.4
2025-12-06T14:18:49.110025,TSLA,-0.23128050088016608,SELL,bearish,high,5,0.0,0.2
2025-12-06T14:18:49.110025,INFY,-0.1136720476632945,SELL,bearish,medium,5,0.2,0.4
2025-12-06T14:18:49.110025,AAPL,-0.21745662442640423,SELL,bearish,high,4,0.25,0.25
2025-12-06T14:18:49.110025,HDFCBANK,-0.19602445831354273,SELL,bearish,high,5,0.2,0.4
2025-12-06T14:19:04.415762,TSLA,-0.23128050088016608,SELL,bearish,high,5,0.0,0.2
2025-12-06T14:19:04.415762,INFY,-0.1136720476632945,SELL,bearish,medium,5,0.2,0.4
2025-12-06T14:19:04.415762,AAPL,-0.21745662442640423,SELL,bearish,high,4,0.25,0.25
2025-12-06T14:19:04.415762,HDFCBANK,-0.19602445831354273,SELL,bearish,high,5,0.2,0.4
2025-12-06T14:19:23.302864,TSLA,-0.23128050088016608,HOLD,bearish,medium,5,0.0,0.2
2025-12-06T14:19:23.302864,INFY,-0.1136720476632945,HOLD,bearish,medium,5,0.2,0.4
2025-12-06T14:19:23.302864,AAPL,-0.21745662442640423,HOLD,bearish,medium,4,0.25,0.25
2025-12-06T14:19:23.302864,HDFCBANK,-0.19602445831354273,HOLD,bearish,medium,5,0.2,0.4
2025-12-06T14:19:39.313281,TSLA,-0.23128050088016608,SELL,bearish,high,5,0.0,0.2
2025-12-06T14:19:39.313281,INFY,-0.1136720476632945,SELL,bearish,medium,5,0.2,0.4
2025-12-06T14:19:39.313281,AAPL,-0.21745662442640423,SELL,bearish,medium,4,0.25,0.25
2025-12-06T14:19:39.313281,HDFCBANK,-0.19602445831354273,SELL,bearish,medium,5,0.2,0.4
2025-12-06T14:20:05.499837,NVIDIA,-0.34555003977238813,SELL,bearish,high,5,0.2,0.4
2025-12-06T14:20:24.100277,AMD RADEON,0.4172147073727551,BUY,bullish,high,5,0.4,0.0
2025-12-06T16:01:25.918407,TSLA,0.2618363105488243,BUY,bullish,high,5,0.4,0.2
2025-12-06T16:01:25.918407,INFY,0.06591624904435207,BUY,bullish,medium,5,0.2,0.2
2025-12-06T16:01:25.918407,AAPL,-0.532906552032,SELL,bearish,high,5,0.2,0.6
2025-12-06T16:01:25.918407,HDFCBANK,-0.3278111820833146,SELL,bearish,high,5,0.0,0.4
2025-12-06T16:03:37.086234,NVIDIA,0.4074372088236714,BUY,bullish,high,5,0.4,0.0
2025-12-06T16:13:58.086733,TSLA,0.07634648292005294,BUY,bullish,medium,5,0.4,0.4
2025-12-06T16:13:58.086733,INFY,0.06591624904435207,BUY,bullish,medium,5,0.2,0.2
2025-12-06T16:13:58.086733,AAPL,-0.532906552032,SELL,bearish,high,5,0.2,0.6
2025-12-06T16:13:58.086733,HDFCBANK,-0.3278111820833146,SELL,bearish,high,5,0.0,0.4
2025-12-06T16:14:04.360555,TSLA,0.07634648292005294,BUY,bullish,medium,5,0.4,0.4
2025-12-06T16:14:04.360555,INFY,0.06591624904435207,BUY,bullish,medium,5,0.2,0.2
2025-12-06T16:14:04.360555,AAPL,-0.532906552032,SELL,bearish,high,5,0.2,0.6
2025-12-06T16:14:04.360555,HDFCBANK,-0.3278111820833146,SELL,bearish,high,5,0.0,0.4
2025-12-06T16:14:20.429155,TSLA,0.07634648292005294,BUY,bullish,medium,5,0.4,0.4
2025-12-06T16:14:20.429155,INFY,0.06591624904435207,BUY,bullish,medium,5,0.2,0.2
2025-12-06T16:14:20.429155,AAPL,-0.532906552032,SELL,bearish,high,5,0.2,0.6
2025-12-06T16:14:20.429155,HDFCBANK,-0.3278111820833146,SELL,bearish,high,5,0.0,0.4
2025-12-06T16:15:11.213034,INDIAN GOLD PRICE,0.026830014247541813,BUY,bullish,medium,5,0.6,0.4
2025-12-06T16:15:57.756072,DOLLAR PRICE,-0.04158016106805462,SELL,bearish,medium,4,0.25,0.25
2025-12-06T16:19:09.933942,DOLLAR PRICE,-0.04158016106805462,SELL,bearish,medium,4,0.25,0.25
2025-12-06T16:24:10.348864,DOLLAR PRICE,-0.04158016106805462,SELL,bearish,medium,4,0.25,0.25
2025-12-06T16:29:09.870016,DOLLAR PRICE,-0.04158016106805462,SELL,bearish,medium,4,0.25,0.25
2025-12-06T16:34:11.288246,DOLLAR PRICE,0.16630651485870374,BUY,bullish,medium,4,0.25,0.0
2025-12-06T16:37:23.820326,TSLA,0.07634648292005294,BUY,bullish,medium,5,0.4,0.4
2025-12-06T16:37:23.820326,INFY,0.06591624904435207,BUY,bullish,medium,5,0.2,0.2
2025-12-06T16:37:23.820326,AAPL,-0.532906552032,SELL,bearish,high,5,0.2,0.6
2025-12-06T16:37:23.820326,HDFCBANK,-0.3278111820833146,SELL,bearish,high,5,0.0,0.4
2025-12-06T16:39:11.900755,TSLA,0.07634648292005294,BUY,bullish,medium,5,0.4,0.4
2025-12-06T16:39:11.900755,INFY,0.06591624904435207,BUY,bullish,medium,5,0.2,0.2
2025-12-06T16:39:11.900755,AAPL,-0.532906552032,SELL,bearish,high,5,0.2,0.6
2025-12-06T16:39:11.900755,HDFCBANK,-0.3278111820833146,SELL,bearish,high,5,0.0,0.4
2025-12-06T16:39:12.521737,DOLLAR PRICE,0.16630651485870374,BUY,bullish,medium,4,0.25,0.0
