timestamp,equity,cash,realized_pnl,unrealized_pnl
2025-12-06T16:01:29.235802,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:03:40.018654,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:13:59.604720,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:14:05.132189,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:14:21.169521,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:15:14.478413,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:15:58.409993,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:19:10.649872,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:24:11.309177,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:29:10.703463,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:34:13.534907,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:37:25.352679,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:39:13.155647,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:39:14.656987,100000.0,50439.190422058105,0.0,0.0
2025-12-06T16:46:50.404107,100000.0,75009.1904220581,0.0,0.0
2025-12-06T16:51:39.057913,100000.0,75009.1904220581,0.0,0.0
2025-12-06T16:56:38.463549,100000.0,75009.1904220581,0.0,0.0
2025-12-06T16:57:50.373637,100000.0,75009.1904220581,0.0,0.0
2025-12-06T16:58:25.855320,100000.0,75009.1904220581,0.0,0.0
2025-12-06T17:01:38.906380,100000.0,75009.1904220581,0.0,0.0
2025-12-06T17:06:14.313358,100000.0,75009.1904220581,0.0,0.0
2025-12-06T17:10:51.304699,100000.0,75009.1904220581,0.0,0.0
2025-12-06T17:15:49.138287,100000.0,75009.1904220581,0.0,0.0
2025-12-06T17:18:31.399449,100000.0,75009.1904220581,0.0,0.0
2025-12-06T17:20:50.387318,100000.0,75009.1904220581,0.0,0.0
2025-12-11T12:58:43.716348,75170.24932861328,25368.019859313965,191.6993408203125,0.0
2025-12-11T15:48:07.043398,98949.48957061768,50109.889015197754,-248.94042205810547,-801.5700073242219
